Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Alexandria,204,Bounty 9 - Payout A,Approved,972568,972568,,,Bounties,9,,Y
Antioch,204,,,,,,,,,,
Alexandria,205,,,,,,,,,,
Antioch,205,,,,,,,,,,
Antioch,206,"Replenish my ""give account""",Approved,3000000,3000000,,,Community Rewards,,,
Alexandria,206,,,,,,,,,,
Alexandria,207,KPI 12.2 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,207,,,,,,,,,,
Alexandria,208,Bounty #13: Example Discord Bot,Canceled,5000000,0,,,Bounties,13,,Y
Antioch,208,,,,,,,,,,
Alexandria,209,Re:Bounty #12: Deploy Reliable Endpoints,Approved,5000000,5000000,,,Bounties,12,,Y
Antioch,209,,,,,,,,,,
Alexandria,210,,,,,,,,,,
Antioch,210,,,,,,,,,,
Alexandria,211,KPI 12.2 - Council Report,Approved,600000,600000,,,Reports,,,
Antioch,211,,,,,,,,,,
Alexandria,212,,,,,,,,,,
Antioch,212,,,,,,,,,,
Alexandria,213,Community Repo Banner Competition Prop,Approved,1500000,1500000,,,Bounties,11,,Y
Antioch,213,,,,,,,,,,
Alexandria,214,Hire for informal role: Bounty 10 Admin,Approved,528846,528846,,,Informal Roles,,,
Antioch,214,,,,,,,,,,
Alexandria,215,KPI 13.3 - Appoint New Council Secretary,Approved,3000000,3000000,,,Informal Roles,,,
Antioch,215,,,,,,,,,,
Alexandria,216,Stickers in the Telegram Joystream,Approved,25000,25000,,,Community Rewards,,,
Antioch,216,,,,,,,,,,
Alexandria,217,,,,,,,,,,
Antioch,217,,,,,,,,,,
Antioch,218,Reward for Bounty #10,Approved,15906015,15906015,,,Bounties,10,,Y
Alexandria,218,media.joystreamstats.live,Approved,5000000,5000000,,,Tools,,,
Alexandria,219,,,,,,,,,,
Antioch,219,,,,,,,,,,
Antioch,220,,,,,,,,,,
Antioch,221,,,,,,,,,,
Antioch,222,,,,,,,,,,
Antioch,223,,,,,,,,,,
Antioch,224,,,,,,,,,,
Antioch,225,,,,,,,,,,
Antioch,226,,,,,,,,,,
Antioch,227,,,,,,,,,,
Antioch,228,,,,,,,,,,
Antioch,229,,,,,,,,,,
Antioch,230,,,,,,,,,,
Antioch,231,,,,,,,,,,
Antioch,232,,,,,,,,,,
Antioch,233,,,,,,,,,,
Antioch,234,,,,,,,,,,
Antioch,235,,,,,,,,,,
Antioch,236,,,,,,,,,,
Antioch,237,Reward for Bounty #10,Approved,30754200,30754200,,,Bounties,10,,Y
Antioch,238,,,,,,,,,,
Antioch,239,,,,,,,,,,
Antioch,240,,,,,,,,,,
Antioch,241,,,,,,,,,,
Antioch,242,,,,,,,,,,
Antioch,243,,,,,,,,,,
Antioch,244,,,,,,,,,,
Antioch,245,,,,,,,,,,
Antioch,246,,,,,,,,,,
